filename, language, JSON, JavaScript, Environment Variables, Pug, HTML, CSS, XML, comment, blank, total
.eslintrc.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
.prettierrc, JSON, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
app.js, JavaScript, 0, 56, 0, 0, 0, 0, 0, 15, 18, 89
config.env, Environment Variables, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
controllers\authController.js, JavaScript, 0, 156, 0, 0, 0, 0, 0, 21, 33, 210
controllers\errorController.js, JavaScript, 0, 57, 0, 0, 0, 0, 0, 4, 15, 76
controllers\handlerFactory.js, JavaScript, 0, 73, 0, 0, 0, 0, 0, 4, 13, 90
controllers\reviewController.js, JavaScript, 0, 12, 0, 0, 0, 0, 0, 2, 3, 17
controllers\tourController.js, JavaScript, 0, 147, 0, 0, 0, 0, 0, 2, 16, 165
controllers\userController.js, JavaScript, 0, 53, 0, 0, 0, 0, 0, 4, 11, 68
controllers\viewsController.js, JavaScript, 0, 19, 0, 0, 0, 0, 0, 4, 6, 29
dev-data\data\import-dev-data.js, JavaScript, 0, 53, 0, 0, 0, 0, 0, 3, 9, 65
dev-data\data\reviews.json, JSON, 422, 0, 0, 0, 0, 0, 0, 0, 0, 422
dev-data\data\tour5.js, JavaScript, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
dev-data\data\tours-simple.json, JSON, 209, 0, 0, 0, 0, 0, 0, 0, 0, 209
dev-data\data\tours.json, JSON, 470, 0, 0, 0, 0, 0, 0, 0, 1, 471
dev-data\data\users.json, JSON, 182, 0, 0, 0, 0, 0, 0, 0, 0, 182
dev-data\templates\accountTemplate.pug, Pug, 0, 0, 0, 76, 0, 0, 0, 0, 2, 78
dev-data\templates\emailTemplate.pug, Pug, 0, 0, 0, 306, 0, 0, 0, 3, 6, 315
dev-data\templates\errorTemplate.pug, Pug, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
dev-data\templates\loginTemplate.pug, Pug, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
dev-data\templates\tourCardTemplate.pug, Pug, 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
dev-data\templates\tourTemplate.pug, Pug, 0, 0, 0, 96, 0, 0, 0, 0, 9, 105
models\reviewModel.js, JavaScript, 0, 81, 0, 0, 0, 0, 0, 7, 14, 102
models\tourModel.js, JavaScript, 0, 145, 0, 0, 0, 0, 0, 21, 16, 182
models\userModel.js, JavaScript, 0, 79, 0, 0, 0, 0, 0, 16, 19, 114
package-lock.json, JSON, 2890, 0, 0, 0, 0, 0, 0, 0, 1, 2891
package.json, JSON, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
public\css\style.css, CSS, 0, 0, 0, 0, 0, 1253, 0, 3, 69, 1325
public\img\icons.svg, XML, 0, 0, 0, 0, 0, 0, 1324, 0, 1, 1325
public\js\mapbox.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
public\overview.html, HTML, 0, 0, 0, 0, 399, 0, 0, 3, 30, 432
public\tour.html, HTML, 0, 0, 0, 0, 489, 0, 0, 4, 30, 523
routes\reviewRoutes.js, JavaScript, 0, 25, 0, 0, 0, 0, 0, 1, 6, 32
routes\tourRoutes.js, JavaScript, 0, 45, 0, 0, 0, 0, 0, 1, 11, 57
routes\userRoutes.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 2, 10, 36
routes\viewRoutes.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
server.js, JavaScript, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
utils\apiFeatures.js, JavaScript, 0, 41, 0, 0, 0, 0, 0, 1, 11, 53
utils\appError.js, JavaScript, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
utils\catchAsync.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
utils\email.js, JavaScript, 0, 19, 0, 0, 0, 0, 0, 9, 5, 33
views\_footer.pug, Pug, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
views\_header.pug, Pug, 0, 0, 0, 8, 0, 0, 0, 4, 0, 12
views\base.pug, Pug, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
views\overview.pug, Pug, 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
views\tour.pug, Pug, 0, 0, 0, 80, 0, 0, 0, 1, 18, 99
Total, -, 4240, 1157, 12, 686, 888, 1253, 1324, 137, 414, 10111